Date,Open,High,Low,Close,Adj Close,Volume
2001-06-27,34.599998,35.349998,34.259997999999996,34.799999,34.799999,185300
2001-06-28,34.799999,35.889998999999996,34.650002,35.27,35.27,263700
2001-06-29,35.209998999999996,36.5,34.560001,34.560001,34.560001,219200
2001-07-02,36.0,36.25,35.549999,35.849998,35.849998,204700
2001-07-03,35.599998,35.599998,34.549999,34.549999,34.549999,134900
2001-07-05,34.360001000000004,34.369999,33.299999,33.540001000000004,33.540001000000004,133300
2001-07-06,33.450001,33.450001,32.599998,32.990002000000004,32.990002000000004,102600
2001-07-09,33.0,33.529999,32.66,33.07,33.07,41100
2001-07-10,33.299999,33.599998,32.849998,32.849998,32.849998,80600
2001-07-11,32.200001,32.200001,30.85,31.0,31.0,589200
2001-07-12,32.189999,33.34,31.799999,33.0,33.0,387100
2001-07-13,32.299999,34.290001000000004,32.299999,33.799999,33.799999,105200
2001-07-16,33.299999,34.32,32.900002,33.049999,33.049999,212400
2001-07-17,32.900002,33.0,31.85,32.52,32.52,252600
2001-07-18,31.75,31.9,29.75,29.950001,29.950001,244700
2001-07-19,31.15,31.35,29.610001,30.950001,30.950001,314100
2001-07-20,30.879998999999998,30.9,29.82,30.4,30.4,180900
2001-07-23,30.15,30.4,29.700001,29.83,29.83,134900
2001-07-24,29.67,29.84,27.870001000000002,28.190001000000002,28.190001000000002,261600
2001-07-25,28.07,30.139999,28.01,29.110001,29.110001,229200
2001-07-26,29.15,31.25,29.0,31.219998999999998,31.219998999999998,168600
2001-07-27,30.75,30.790001,29.950001,30.52,30.52,64600
2001-07-30,30.4,30.549999,29.799999,30.459999,30.459999,39500
2001-07-31,30.389999,31.25,29.25,29.559998999999998,29.559998999999998,239400
2001-08-01,29.59,29.629998999999998,26.75,27.0,27.0,1103800
2001-08-02,25.6,28.049999,25.5,25.9,25.9,1105100
2001-08-03,25.360001,26.4,25.25,26.35,26.35,650100
2001-08-06,25.98,25.99,24.799999,25.0,25.0,921300
2001-08-07,25.01,25.35,23.299999,24.0,24.0,520800
2001-08-08,23.9,24.049999,22.15,22.549999,22.549999,675000
2001-08-09,22.940001000000002,24.049999,22.6,23.780001000000002,23.780001000000002,256200
2001-08-10,23.5,24.1,23.299999,23.9,23.9,140700
2001-08-13,23.9,24.0,23.35,23.85,23.85,144600
2001-08-14,23.799999,24.450001,23.5,23.68,23.68,379500
2001-08-15,23.6,23.879998999999998,22.74,23.0,23.0,76300
2001-08-16,22.700001,24.1,22.6,23.950001,23.950001,130200
2001-08-17,23.700001,23.75,22.799999,23.15,23.15,188800
2001-08-20,23.0,23.67,22.85,22.85,22.85,73600
2001-08-21,22.91,23.690001000000002,22.700001,22.719998999999998,22.719998999999998,104800
2001-08-22,23.200001,23.74,23.0,23.299999,23.299999,83500
2001-08-23,23.25,23.549999,22.85,23.17,23.17,83500
2001-08-24,23.049999,24.379998999999998,23.049999,24.15,24.15,79700
2001-08-27,24.120001000000002,24.129998999999998,23.65,24.0,24.0,60200
2001-08-28,24.0,24.1,22.950001,23.0,23.0,164400
2001-08-29,23.0,23.6,22.950001,23.280001000000002,23.280001000000002,67500
2001-08-30,23.049999,23.700001,22.950001,23.66,23.66,156700
2001-08-31,23.49,24.15,23.059998999999998,23.17,23.17,135700
2001-09-04,23.15,23.950001,22.950001,23.200001,23.200001,137300
2001-09-05,23.33,23.33,22.450001,23.02,23.02,365100
2001-09-06,22.799999,23.0,21.4,21.629998999999998,21.629998999999998,599100
2001-09-07,21.200001,21.59,20.33,20.59,20.59,142500
